descriptor,idx,observed,nunique,sd
naAromAtom,5,4929,14,2.873349666595459
nAromBond,6,4929,15,2.9462106227874756
nH,9,4929,57,8.65623664855957
nC,11,4929,49,6.2333526611328125
nX,20,4929,62,8.856927871704102
MLFER_A,1273,4929,194,0.34540432691574097
MLFER_BH,1274,4929,1734,0.603123664855957
WTPT-3,1437,4929,4076,23.30661964416504
Kier1,1246,4929,236,14.640655517578125
Kier3,1248,4929,1364,2.6240127086639404
ATS7e,46,4929,4064,624.720947265625
AATS7e,100,4929,4009,3.0468146800994873
ATSC7e,163,4929,4409,6.3841376304626465
AATSC7e,226,4929,4396,0.12028216570615768
MATS7e,285,4929,4396,0.3286636769771576
GATS7e,341,4929,4356,0.4863075911998749
ETA_Beta,1171,4929,233,10.401932716369629
ETA_Shape_X,1170,4929,2632,0.0857602208852768
MDEC-34,1262,4929,1196,1.9484318494796753
MPC7,1284,4929,229,45.109222412109375
piPC7,1295,4929,761,1.4867511987686157
SRW8,1429,4929,2750,0.5575786232948303
SpMax_Dze,407,4929,4853,186.5244903564453
SpDiam_Dzp,421,4929,4852,394.8928527832031
VR1_Dze,416,4929,4842,1667635.75
