descriptor,idx,observed,nunique,sd
nAcid,0,4929,3,0.5724824070930481
ALogP,1,4929,4534,2.647770404815674
ALogp2,2,4929,4532,34.98505783081055
AMR,3,4929,4653,30.39485740661621
apol,4,4929,3876,19.76876449584961
nAtom,7,4929,124,19.682308197021484
nHeavyAtom,8,4929,104,14.565546989440918
nF,16,4929,61,8.859410285949707
nO,13,4929,18,2.028907060623169
XLogP,1442,4929,3939,4.351052761077881
TopoPSA,1410,4929,478,37.31155014038086
MLFER_L,1278,4929,3775,3.1764535903930664
ATS4m,25,4929,4829,11186.791015625
AATS4m,79,4929,4813,78.94646453857422
ATSC4m,142,4929,4814,2044.376953125
AATSC4m,205,4929,4833,16.61058807373047
MATS4m,266,4929,4831,0.2467229813337326
GATS4m,322,4929,4816,0.26207685470581055
ETA_Alpha,1152,4929,2693,5.523711204528809
ETA_Epsilon_3,1158,4929,180,0.002397738164290786
MDEC-23,1259,4929,570,3.571763277053833
MWC5,1416,4929,1841,0.5603628754615784
SpAbs_Dzv,393,4929,4852,443.7854309082031
VE1_Dzv,400,4929,4608,0.18558813631534576
JGI4,1391,4929,1548,0.009381137788295746
